id,x,y,radius,is_spanning
0,28.7265,17.3307,2,0
1,79.371,62.3569,2,0
2,136.419,29.5773,2,0
3,74.5004,47.26,2,0
4,100.31,87.2114,2,0
5,7.71983,2.90299,2,0
6,116.654,84.4127,2,0
7,80.6078,94.5109,2,0
8,79.341,12.6386,2,0
9,123.373,2,2,0
10,134.642,50.8768,2,0
11,66.4232,98,2,0
12,19.1128,56.5675,2,0
13,152.479,15.2445,2,0
14,86.233,90.7418,2,0
15,52.1962,2,2,0
16,136.72,68.3512,2,0
17,96.6846,85.1977,2,0
18,26.9297,86.1384,2,0
19,107.648,86.4674,2,0
20,94.1058,95.5107,2,0
21,73.6868,22.5794,2,0
22,197.736,88.7012,2,0
23,23.0086,57.5769,2,0
24,190.385,82.3268,2,0
25,120.26,4.62957,2,0
26,168.473,66.3012,2,0
27,48.5513,44.8816,2,0
28,154.435,44.1962,2,0
29,30.7928,25.2646,2,0
30,134.459,85.2127,2,0
31,182.725,94.4118,2,0
32,136.815,60.2735,2,0
33,56.0768,32.2436,2,0
34,69.7753,23.7244,2,0
35,156.859,63.888,2,0
36,130.426,83.8047,2,0
37,11.7358,49.7408,2,0
38,15.6296,21.2657,2,0
39,176.616,23.6961,2,0
40,74.3727,2,2,0
41,102.266,70.7058,2,0
42,15.6553,51.0578,2,0
43,191.996,94.4572,2,0
44,88.9846,68.218,2,0
45,18.3479,12.7817,2,0
46,145.607,73.4422,2,0
47,118.163,55.5356,2,0
48,154.139,60.8915,2,0
49,159.35,7.7768,2,0
50,13.1078,66.0978,2,0
51,1.97715,28.307,2,0
52,72.3193,7.78248,2,0
53,164.071,39.717,2,0
54,53.8986,5.69918,2,0
55,89.2299,22.7499,2,0
56,40.4284,46.3019,2,0
57,197.589,28.166,2,0
58,179.358,53.3485,2,0
59,111.507,83.5119,2,0
60,63.7227,18.3054,2,0
61,25.4797,37.3292,2,0
62,195.645,2,2,0
63,28.5286,34.4841,2,0
64,97.0699,62.8271,2,0
65,44.4503,45.5409,2,0
66,177.188,77.9859,2,0
67,85.1543,8.05646,2,0
68,177.998,43.9371,2,0
69,169.054,77.037,2,0
70,148.358,67.7991,2,0
71,189.794,47.1845,2,0
72,183.165,43.6019,2,0
73,110.297,14.1077,2,0
74,37.6004,5.74786,2,0
75,47.3637,88.7865,2,0
76,101.374,22.8058,2,0
77,150.558,2,2,0
78,33.3798,68.6144,2,0
79,62.6191,70.7108,2,0
80,74.714,18.5002,2,0
81,53.7222,84.2148,2,0
82,77.1583,24.7291,2,0
83,24.7426,27.9025,2,0
84,70.6414,77.9826,2,0
85,194.557,91.2027,2,0
86,26.7774,63.9143,2,0
87,156.733,50.3969,2,0
88,172.641,40.2361,2,0
89,31.0203,92.4361,2,0
90,35.4357,39.5558,2,0
91,106.714,54.1197,2,0
92,63.6636,29.444,2,0
93,156.377,18.0208,2,0
94,132.698,18.4129,2,0
95,15.8452,59.1306,2,0
96,65.4977,56.3353,2,0
97,127.25,81.2476,2,0
98,21.2865,38.6117,2,0
99,15.8714,9.35126,2,0
100,38.5705,73.9801,2,0
101,187.606,16.576,2,0
102,120.619,76.3133,2,0
103,13.6085,78.9366,2,0
104,51.1777,21.5346,2,0
105,78.2418,20.7349,2,0
106,144.345,93.1298,2,0
107,182.765,29.8783,2,0
108,44.6706,67.2673,2,0
109,11.8178,9.96368,2,0
110,98.3217,69.7533,2,0
111,82.1447,58.6054,2,0
112,21.9592,5.58893,2,0
113,170.554,35.9534,2,0
114,101.589,56.2331,2,0
115,140.79,70.4204,2,0
116,33.859,9.73558,2,0
117,35.5897,83.8004,2,0
118,95.7182,72.8476,2,0
119,62.6299,59.1525,2,0
120,102.446,11.5907,2,0
121,165.579,32.5413,2,0
122,159.055,76.5551,2,0
123,74.4963,98,2,0
124,187.098,74.8555,2,0
125,111.101,91.591,2,0
126,138.873,78.1446,2,0
127,140.245,66.4387,2,0
128,186.158,55.2113,2,0
129,30.8053,76.1221,2,0
130,158.202,45.6758,2,0
131,138.868,40.5341,2,0
132,136.303,20.2767,2,0
133,181.913,81.8384,2,0
134,89.9977,50.9433,2,0
135,175.886,62.7966,2,0
136,106.776,11.9364,2,0
137,180.027,62.7513,2,0
